sample.id	sampleID	sample_number	f_cell_line	f_murine_host	f_treatment	f_analysis_group	LRT_cell_line	LRT_murine_host	LRT_treatment		comp_1
InVitro_AKPTplusIFNgplusTNFa_A33	HUT6877A33	33	AKPT_+_IFNg_+_TNFa	In vitro	IFNg+TNFa	K	AKPT_+_IFNg_+_TNFa	In vitro	IFNg+TNFa		
InVitro_AKPTorg_A34	HUT6877A34	34	AKPT_org	In vitro	No_treatment	L	AKPT_org	In vitro	No_treatment		
InVitro_AKPTorg_A35	HUT6877A35	35	AKPT_org	In vitro	No_treatment	L	AKPT_org	In vitro	No_treatment		
InVitro_AKPTorg_A36	HUT6877A36	36	AKPT_org	In vitro	No_treatment	L	AKPT_org	In vitro	No_treatment		
InVitro_AKPT2Dorg_A37	HUT6877A37	37	AKPT2D_org	In vitro	No_treatment	M	AKPT2D_org	In vitro	No_treatment		
InVitro_AKPT2Dorg_A38	HUT6877A38	38	AKPT2D_org	In vitro	No_treatment	M	AKPT2D_org	In vitro	No_treatment		
InVitro_AKPT2Dorg_A39	HUT6877A39	39	AKPT2D_org	In vitro	No_treatment	M	AKPT2D_org	In vitro	No_treatment		
InVitro_AKPTCtnnb1KOorg_A40	HUT6877A40	40	AKPT_Ctnnb1KO_org	In vitro	No_treatment	N	AKPT_Ctnnb1KO_org	In vitro	No_treatment		
InVitro_AKPTCtnnb1KOorg_A41	HUT6877A41	41	AKPT_Ctnnb1KO_org	In vitro	No_treatment	N	AKPT_Ctnnb1KO_org	In vitro	No_treatment		
InVitro_AKPTCtnnb1KOorg_A42	HUT6877A42	42	AKPT_Ctnnb1KO_org	In vitro	No_treatment	N	AKPT_Ctnnb1KO_org	In vitro	No_treatment		
C57BL6_AKPTB6Ctrlwk3_A43	HUT6877A43	43	AKPT_B6_control_wk3	C57BL/6	Control_week_3	O	AKPT_B6_control_wk3	C57BL/6	Control_week_3		
C57BL6_AKPTB6Ctrlwk3_A44	HUT6877A44	44	AKPT_B6_control_wk3	C57BL/6	Control_week_3	O	AKPT_B6_control_wk3	C57BL/6	Control_week_3		
C57BL6_AKPTB6Ctrlwk3_A45	HUT6877A45	45	AKPT_B6_control_wk3	C57BL/6	Control_week_3	O	AKPT_B6_control_wk3	C57BL/6	Control_week_3		
NSG_AKPTNSGNTwk3_A46	HUT6877A46	46	AKPT_NSG_NT_wk3	NSG	Control_week_3	P	AKPT_NSG_NT_wk3	NSG	Control_week_3		
NSG_AKPTNSGNTwk3_A47	HUT6877A47	47	AKPT_NSG_NT_wk3	NSG	Control_week_3	P	AKPT_NSG_NT_wk3	NSG	Control_week_3		
NSG_AKPTNSGNTwk3_A48	HUT6877A48	48	AKPT_NSG_NT_wk3	NSG	Control_week_3	P	AKPT_NSG_NT_wk3	NSG	Control_week_3		
C57BL6_AKPTB6ICBwk4_A49	HUT6877A49	49	AKPT_B6_ICB_wk4	C57BL/6	aPD1+aCTLA4_week_4	Q	AKPT_B6_ICB_wk4	C57BL/6	aPD1+aCTLA4_week_4		
C57BL6_AKPTB6ICBwk4_A50	HUT6877A50	50	AKPT_B6_ICB_wk4	C57BL/6	aPD1+aCTLA4_week_4	Q	AKPT_B6_ICB_wk4	C57BL/6	aPD1+aCTLA4_week_4		
C57BL6_AKPTB6ICBwk4_A51	HUT6877A51	51	AKPT_B6_ICB_wk4	C57BL/6	aPD1+aCTLA4_week_4	Q	AKPT_B6_ICB_wk4	C57BL/6	aPD1+aCTLA4_week_4		
C57BL6_AKPTB6ICBwk5_A52	HUT6877A52	52	AKPT_B6_ICB_wk5	C57BL/6	aPD1+aCTLA4_week_5	R	AKPT_B6_ICB_wk5	C57BL/6	aPD1+aCTLA4_week_5		
C57BL6_AKPTB6ICBwk5_A53	HUT6877A53	53	AKPT_B6_ICB_wk5	C57BL/6	aPD1+aCTLA4_week_5	R	AKPT_B6_ICB_wk5	C57BL/6	aPD1+aCTLA4_week_5		
C57BL6_AKPTB6ICBwk5_A54	HUT6877A54	54	AKPT_B6_ICB_wk5	C57BL/6	aPD1+aCTLA4_week_5	R	AKPT_B6_ICB_wk5	C57BL/6	aPD1+aCTLA4_week_5		
C57BL6_AKPTB6ICBwk5_A55	HUT6877A55	55	AKPT_B6_ICB_wk5	C57BL/6	aPD1+aCTLA4_week_5	R	AKPT_B6_ICB_wk5	C57BL/6	aPD1+aCTLA4_week_5		
C57BL6_AKPTmetsCtrlwk4_A56	HUT6877A56	56	AKPTmets_control_wk4	C57BL/6	Control_week_4	S	AKPTmets_control_wk4	C57BL/6	Control_week_4		
C57BL6_AKPTmetsCtrlwk4_A57	HUT6877A57	57	AKPTmets_control_wk4	C57BL/6	Control_week_4	S	AKPTmets_control_wk4	C57BL/6	Control_week_4		
C57BL6_AKPTmetsCtrlwk4_A58	HUT6877A58	58	AKPTmets_control_wk4	C57BL/6	Control_week_4	S	AKPTmets_control_wk4	C57BL/6	Control_week_4		
C57BL6_AKPTmetsICBwk4_A59	HUT6877A59	59	AKPTmets_ICB_wk4	C57BL/6	aPD1+aCTLA4_week_5	T	AKPTmets_ICB_wk4	C57BL/6	aPD1+aCTLA4_week_5		
C57BL6_AKPTmetsICBwk4_A60	HUT6877A60	60	AKPTmets_ICB_wk4	C57BL/6	aPD1+aCTLA4_week_5	T	AKPTmets_ICB_wk4	C57BL/6	aPD1+aCTLA4_week_5		
C57BL6_AKPTmetsICBwk4_A61	HUT6877A61	61	AKPTmets_ICB_wk4	C57BL/6	aPD1+aCTLA4_week_5	T	AKPTmets_ICB_wk4	C57BL/6	aPD1+aCTLA4_week_5		
C57BL6_AKPS1NTwk3_A62	HUT6877A62	62	AKPS1_NT_wk3	C57BL/6	No_treatment_week_3	U	AKPS1_NT_wk3	C57BL/6	No_treatment_week_3		
C57BL6_AKPS1NTwk3_A63	HUT6877A63	63	AKPS1_NT_wk3	C57BL/6	No_treatment_week_3	U	AKPS1_NT_wk3	C57BL/6	No_treatment_week_3		
C57BL6_AKPS1NTwk3_A64	HUT6877A64	64	AKPS1_NT_wk3	C57BL/6	No_treatment_week_3	U	AKPS1_NT_wk3	C57BL/6	No_treatment_week_3		
C57BL6_AKPS2NTwk3_A65	HUT6877A65	65	AKPS2_NT_wk3	C57BL/6	No_treatment_week_3	V	AKPS2_NT_wk3	C57BL/6	No_treatment_week_3		
C57BL6_AKPS2NTwk3_A66	HUT6877A66	66	AKPS2_NT_wk3	C57BL/6	No_treatment_week_3	V	AKPS2_NT_wk3	C57BL/6	No_treatment_week_3		
C57BL6_AKPS2NTwk3_A67	HUT6877A67	67	AKPS2_NT_wk3	C57BL/6	No_treatment_week_3	V	AKPS2_NT_wk3	C57BL/6	No_treatment_week_3		
C57BL6_AKP1NTwk3_A68	HUT6877A68	68	AKP1_NT_wk3	C57BL/6	No_treatment_week_3	X	AKP1_NT_wk3	C57BL/6	No_treatment_week_3		
C57BL6_AKP1NTwk3_A69	HUT6877A69	69	AKP1_NT_wk3	C57BL/6	No_treatment_week_3	X	AKP1_NT_wk3	C57BL/6	No_treatment_week_3		
C57BL6_AKP1NTwk3_A70	HUT6877A70	70	AKP1_NT_wk3	C57BL/6	No_treatment_week_3	X	AKP1_NT_wk3	C57BL/6	No_treatment_week_3		
C57BL6_AKP2NTwk4_A71	HUT6877A71	71	AKP2_NT_wk4	C57BL/6	No_treatment_week_3	Y	AKP2_NT_wk4	C57BL/6	No_treatment_week_3		
C57BL6_AKP2NTwk4_A72	HUT6877A72	72	AKP2_NT_wk4	C57BL/6	No_treatment_week_3	Y	AKP2_NT_wk4	C57BL/6	No_treatment_week_3		
C57BL6_AKP2NTwk4_A73	HUT6877A73	73	AKP2_NT_wk4	C57BL/6	No_treatment_week_3	Y	AKP2_NT_wk4	C57BL/6	No_treatment_week_3		
